alloy,crystal,do_relaxation
CoCrFeNi,FCC,FALSE
CoCrNi,FCC,FALSE
CoCrCuFeNiTi0.5,FCC,FALSE
Co1.5CrFeNi1.5Ti0.5,FCC,FALSE
CoCrCuFe,FCC,FALSE
MoNbTiV1.5Zr,FCC,FALSE
Al0.875CoCrFeNi,FCC,FALSE
CoCuFeMnNiSn0.03,FCC,FALSE
AlMo0.5NbTa0.5TiZr,FCC,FALSE
Al0.25NbTaTiV,FCC,FALSE
Al0.2Co1.5CrFeNi1.5Ti0.5,FCC,FALSE
Al0.5CoCrCuFeNiV1.6,FCC,FALSE
MoNbTaV,FCC,FALSE
HfNbTiZr,FCC,FALSE
Al0.3HfNbTaTiZr,FCC,FALSE
AlCoCrCuNiTi,FCC,FALSE
CoCuFeNiSn0.02,FCC,FALSE
Al0.5CoCrCuFeNiTi0.4,FCC,FALSE
NbTiV0.3Mo1.5,FCC,FALSE
AlCrFeNiMo0.5,FCC,FALSE
CoCrCuFeNi,FCC,FALSE
Al0.5CoCrCuFeNiTi0.2,FCC,FALSE
Al0.25CoCrCu0.5FeNiTi0.5,FCC,FALSE
Al0.8CoCrCuFeNi,FCC,FALSE
Mo1.3NbTiVZr,FCC,FALSE
HfMoTaTiZr,FCC,FALSE
Al0.10CoCrFeMnNi,FCC,FALSE
AlCoCrFeNiSi,FCC,FALSE
Al0.5CoCrCuFeNiV1.4,FCC,FALSE
AlCoCrFeNiSi0.2,FCC,FALSE
MoNbTiV0.50Zr,FCC,FALSE
AlCuNiTi,FCC,FALSE
Al2CoCrFeNi,FCC,FALSE
AlNb1.5Ta0.5Ti1.5Zr0.5,FCC,FALSE
MoNbTiV0.75Zr,FCC,FALSE
NbTaVW,FCC,FALSE
AlNbTiV,FCC,FALSE
AlCoFeNiTiVZr,FCC,FALSE
CoCrFeNiTi,FCC,FALSE
Al2.8CoCrCuFe,FCC,FALSE
AlCoFeNi,FCC,FALSE
Al0.5CrFe1.5MnNi0.5,FCC,FALSE
Al0.5CoCrCuFeNi,FCC,FALSE
AlCrFeNi,FCC,FALSE
CoFeNiV,FCC,FALSE
CoCuFeMnNi,FCC,FALSE
NbTiV0.3Mo1.3,FCC,FALSE
CrCuFeMoNi,FCC,FALSE
CoCrFeMnNiV0.25,FCC,FALSE
HfMo0.25NbTaTiZr,FCC,FALSE
CoCrFeMnNiV0.5,FCC,FALSE
NbTiV0.3Mo0.5,FCC,FALSE
NbTiV0.3Zr,FCC,FALSE
MoNbTiV0.25Zr,FCC,FALSE
CoCrCu0.5FeNi,FCC,FALSE
FeMnNi,FCC,FALSE
Al0.25CoCrFeNi,FCC,FALSE
HfMoNbTaTiZr,FCC,FALSE
Al3CoCrCuFeNi,FCC,FALSE
CoCrCuFeNiTi,FCC,FALSE
HfNbTaTiZr,FCC,FALSE
MoNbTaW,FCC,FALSE
Al22.5Cu20Fe15Ni20Ti22.5,FCC,FALSE
MoNbTiZr,FCC,FALSE
Al3.0CoCrCuFe,FCC,FALSE
Al1.25CoCrFeMnNi,FCC,FALSE
Al0.75HfNbTaTiZr,FCC,FALSE
Al0.25CoFeNi,FCC,FALSE
MoNbTiV1.0Zr,FCC,FALSE
AlCrFeNiMo0.2,FCC,FALSE
Mo0.5NbTiVZr,FCC,FALSE
CoMnNi,FCC,FALSE
NbTiV0.3Mo,FCC,FALSE
HfMo0.75NbTaTiZr,FCC,FALSE
Al0.5CoCrCuFeNiV0.2,FCC,FALSE
Al0.4Hf0.6NbTaTiZr,FCC,FALSE
Al0.6CrCuFeNi2,FCC,FALSE
Al2CoCrFeNiTi,FCC,FALSE
CoFeNi,FCC,FALSE
AlCoCrFeNi,FCC,FALSE
Al0.2CrCuFeNi2,FCC,FALSE
NbTiVZr,FCC,FALSE
